"","x"
"1","Abof"
"2","Apple"
"3","Canon"
"4","Croma"
"5","Godrej"
"6","ICICI"
"7","Infibeam"
"8","JBL"
"9","Lenovo"
"10","Maruti Suzuki"
"11","Mayfair"
"12","More"
"13","Motorola"
"14","Mufti"
"15","Myntra"
"16","Oppo"
"17","Panasonic"
"18","PepperTap"
"19","Samsung"
"20","Send My Gift"
"21","SMR Vinay"
"22","Sony"
"23","Superdry"
"24","Videocon"
